benchmark,unit,Base,historical_D2_FFT,unprotected,protected,protected_minus_Base,protected_minus_historical_D2_FFT,protected_minus_unprotected,unprotected_minus_historical_D2_FFT
SW Belebele,%,37.22222222222222,44.888888888888886,43.333333333333336,45.0,7.777777777777779,0.11111111111111427,1.6666666666666643,-1.55555555555555
SW XL-Sum,chrF++,23.93525353687835,30.18689316227931,30.560465919696245,30.548908318319523,6.6136547814411735,0.3620151560402114,-0.01155760137672246,0.37357275741693385
EN→SW,chrF++,17.43894564338783,36.33963633557651,35.01702697541655,36.92299356838146,19.48404792499363,0.5833572328049499,1.9059665929649086,-1.3226093601599587
SW→EN,chrF++,21.00647263204572,39.64459963483287,39.2877292075915,43.57512002117568,22.568647389129957,3.930520386342806,4.287390813584182,-0.3568704272413754
EN Belebele,%,81.77777777777779,78.33333333333333,76.33333333333333,80.22222222222221,-1.5555555555555713,1.8888888888888857,3.8888888888888857,-2.0
EN XL-Sum,chrF++,21.88807455273231,21.63216210835167,21.931316509194197,21.53917681539898,-0.34889773733332774,-0.0929852929526902,-0.3921396937952153,0.2991544008425251
IFEval prompt strict,%,42.883548983364136,20.147874306839185,21.072088724584106,25.693160813308687,-17.19038817005545,5.545286506469502,4.621072088724581,0.9242144177449205
IFEval instruction strict,%,51.798561151079134,29.73621103117506,30.335731414868107,38.00959232613909,-13.788968824940042,8.273381294964032,7.673860911270985,0.5995203836930472
GSM8K strict 5-shot,%,31.311599696739954,13.495072024260804,13.419257012888552,19.9393479909022,-11.372251705837755,6.444275966641396,6.520090978013647,-0.0758150113722511
GSM8K flexible 5-shot,%,54.73843821076573,37.14935557240334,30.09855951478393,41.470811220621684,-13.267626990144045,4.321455648218347,11.372251705837755,-7.050796057619408
