left,right,delta_pp,ci95_low_pp,ci95_high_pp,one_sided_cluster_signflip_p,questions,passages,resamples,seed
element_protected,element_unprotected,1.6666666666666667,-1.2168141592920354,4.439634973486248,0.1434856514348565,900,488,10000,42
edge_projected_rows,edge_rows_no_projection,2.4444444444444446,0.0,4.928904365934999,0.0314968503149685,900,488,10000,42
element_protected,D2_历史FFT,0.1111111111111111,-2.768626013804686,2.986891225006375,0.49555044495550443,900,488,10000,42
element_unprotected,D2_历史FFT,-1.5555555555555556,-4.250620274750609,1.123627102791926,0.8852114788521148,900,488,10000,42
edge_projected_rows,D2_历史FFT,1.7777777777777777,-1.343784994400896,4.989190687361416,0.15198480151984803,900,488,10000,42
edge_rows_no_projection,D2_历史FFT,-0.6666666666666666,-3.833259780652307,2.6549407579454907,0.6793320667933207,900,488,10000,42
D2_历史FFT,Base,7.666666666666667,4.2268013842541095,11.123470522803114,9.999000099990002e-05,900,488,10000,42
element_protected,Base,7.777777777777778,4.083885209713024,11.543050931064245,9.999000099990002e-05,900,488,10000,42
element_unprotected,Base,6.111111111111111,2.6815642458100557,9.560461192350955,0.0004999500049995,900,488,10000,42
edge_projected_rows,Base,9.444444444444445,5.96672342752736,12.866928905080123,9.999000099990002e-05,900,488,10000,42
edge_rows_no_projection,Base,7.0,3.4177669763804768,10.590858416945373,0.00029997000299970003,900,488,10000,42
